session_id,pid,session_index,first_session,no_started_or_resumed_job,log_duration_minutes,log_gap_days,log_jobs_started,log_jobs_resumed,log_tasks_completed,purchase_any,job_completion_ratio_capped,job_exit_ratio_capped,progression_gain,mode_diversity
p1_s0015,p1,15,0,0,2.6614243597621545,2.3491428288771172,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.18256909,1
p1_s0016,p1,16,0,0,3.681351187693145,0.645222960796854,1.0986122886681098,0.6931471805599453,1.0986122886681098,1,0.6666666666666666,1.0,1.0,1
p1_s0017,p1,17,0,0,3.728901128463422,0.6366992985461876,1.0986122886681098,0.6931471805599453,1.0986122886681098,1,0.6666666666666666,1.0,1.0,1
p1_s0018,p1,18,0,0,3.7921127087555884,0.07233142810220086,1.0986122886681098,0.6931471805599453,1.0986122886681098,0,0.6666666666666666,1.0,1.0,1
p1_s0019,p1,19,0,0,3.71519676243131,0.5869890217665169,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.472529052,1
p1_s0020,p1,20,0,0,3.343450559449831,0.1269181379966235,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.2468734599999999,1
p1_s0021,p1,21,0,0,2.1536983122863287,0.02792811344851981,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.0778859300000001,1
p1_s0022,p1,22,0,0,3.0301337002713233,0.5522940759541204,0.0,0.6931471805599453,0.6931471805599453,0,1.0,1.0,0.1855632699999999,1
p1_s0023,p1,23,0,1,0.33647223662121295,4.642292121502568,0.0,0.0,0.0,0,0.0,0.0,0.0,1
p1_s0024,p1,24,0,1,0.38299225225610584,3.721093674481657,0.0,0.0,0.0,0,0.0,0.0,0.0,1
p10_s0001,p10,1,1,0,4.555279416374627,0.0,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.6131449720000001,1
p10_s0002,p10,2,0,0,6.3405976645004,0.3976102653705838,2.3978952727983707,0.6931471805599453,2.4849066497880004,1,0.9166666666666666,1.0,1.0,1
p10_s0003,p10,3,0,0,5.2471994953694265,1.6023503549322056,1.0986122886681098,0.6931471805599453,1.0986122886681098,1,0.6666666666666666,1.0,1.0,1
p10_s0004,p10,4,0,0,6.3405976645004,0.29665213752285385,1.6094379124341003,0.6931471805599453,1.6094379124341003,0,0.8,1.0,1.0,1
p10_s0005,p10,5,0,0,4.197953544841121,0.027151195745823614,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.0880210969999999,1
p10_s0006,p10,6,0,0,5.622331368247208,0.3197996263418897,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,0.5,1.0,1.0,1
p10_s0007,p10,7,0,0,4.927857367638563,0.19149042788262294,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,0.5,1.0,1.0,1
p10_s0008,p10,8,0,0,5.801413192252086,0.3278288390569685,1.3862943611198906,0.6931471805599453,1.3862943611198906,0,0.75,1.0,1.0,1
p10_s0009,p10,9,0,0,4.349847736309647,0.18960591808650606,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,0.5,1.0,1.0,1
p10_s0010,p10,10,0,0,4.074991833706286,0.5705740448371779,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.6952081699999999,1
p10_s0011,p10,11,0,0,5.31205589265855,0.693453846496103,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,0.5,1.0,1.0,1
p10_s0012,p10,12,0,0,6.286308412587383,0.5935889860744172,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.11642015,1
p10_s0013,p10,13,0,0,5.919834272156654,0.5423310199155551,0.0,0.6931471805599453,0.6931471805599453,0,1.0,0.0,0.58199343,1
p10_s0014,p10,14,0,0,5.411125082840912,0.6472304881799757,0.6931471805599453,0.0,0.0,0,0.0,1.0,0.0,1
p10_s0015,p10,15,0,0,6.13516798692888,0.4430448150531399,1.3862943611198906,0.0,1.3862943611198906,0,0.6666666666666666,1.0,0.8889177699999999,1
p100_s0001,p100,1,1,0,5.486731437341149,0.0,0.6931471805599453,0.0,0.0,0,0.0,1.0,0.0,1
p1000_s0001,p1000,1,1,0,2.1420250279816035,0.0,0.6931471805599453,0.0,0.6931471805599453,0,1.0,1.0,0.0,1
p10000_s0001,p10000,1,1,0,3.5543952267341417,0.0,1.0986122886681098,0.0,0.6931471805599453,1,0.5,1.0,1.0,1
p10000_s0002,p10000,2,0,0,3.5619926042080823,2.6364721456668194,1.0986122886681098,0.6931471805599453,1.0986122886681098,0,0.6666666666666666,1.0,1.0,1
p10001_s0001,p10001,1,1,0,4.125789394929758,0.0,1.0986122886681098,0.0,1.0986122886681098,1,1.0,1.0,1.0,1
p10002_s0001,p10002,1,1,0,4.550361949493096,0.0,1.791759469228055,0.0,1.791759469228055,1,0.8,1.0,1.0,2
p10002_s0002,p10002,2,0,0,4.858519579359367,0.025031308613931037,0.6931471805599453,0.6931471805599453,2.302585092994046,1,0.5,1.0,1.0,1
p10002_s0003,p10002,3,0,0,4.495727274606709,1.1087497735018061,1.0986122886681098,0.6931471805599453,1.0986122886681098,0,0.6666666666666666,1.0,1.0,1
p10002_s0004,p10002,4,0,0,4.654753686176919,0.4295779079542734,1.3862943611198906,0.6931471805599453,1.3862943611198906,0,0.75,1.0,1.0,1
p10002_s0005,p10002,5,0,0,4.738389029774314,1.1345520139137872,1.0986122886681098,0.6931471805599453,1.0986122886681098,1,0.6666666666666666,1.0,1.0,1
p10002_s0006,p10002,6,0,0,4.1176812424013365,0.6056053598796299,1.0986122886681098,0.6931471805599453,1.0986122886681098,0,0.6666666666666666,1.0,1.0,1
p10002_s0007,p10002,7,0,0,4.175924549214524,1.088811329374504,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.303286399,1
p10002_s0008,p10002,8,0,1,0.5500463369192718,1.3413103125497268,0.0,0.0,0.0,0,0.0,0.0,0.0,1
p10003_s0001,p10003,1,1,0,4.607500801326373,0.0,1.0986122886681098,0.0,0.6931471805599453,0,0.5,1.0,1.0,2
p10003_s0002,p10003,2,0,0,0.6418538861723948,0.0010642483016386258,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.03842034,1
p10003_s0003,p10003,3,0,0,4.956179108300197,0.6608188638809305,1.3862943611198906,0.6931471805599453,1.6094379124341003,1,1.0,0.75,1.0,1
p10003_s0004,p10003,4,0,0,3.950602487395621,0.20407398859385903,0.6931471805599453,0.0,2.0794415416798357,0,0.0,1.0,0.5249395723000001,1
p10003_s0005,p10003,5,0,0,3.095577608523707,0.6601970439614618,0.0,0.6931471805599453,0.6931471805599453,0,0.0,1.0,0.0693878,1
p10003_s0006,p10003,6,0,0,4.045970977937885,0.5153500951136264,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.2723890699999999,1
p10003_s0007,p10003,7,0,0,3.894198420515594,0.6388645297077826,1.0986122886681098,0.6931471805599453,1.0986122886681098,0,0.6666666666666666,1.0,1.0,1
p10003_s0008,p10003,8,0,0,4.051205069561483,0.23093717604288966,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.51872474,1
p10003_s0009,p10003,9,0,0,3.7502880822425797,1.5822142058075401,1.0986122886681098,0.0,0.6931471805599453,1,0.5,1.0,1.0,1
p10003_s0010,p10003,10,0,1,0.4700036292457356,2.563569310192615,0.0,0.0,0.0,0,0.0,0.0,0.0,1
p10003_s0011,p10003,11,0,1,0.6931471805599453,4.83221796790265,0.0,0.0,0.0,0,0.0,0.0,0.0,1
p10004_s0001,p10004,1,1,0,3.727298564017881,0.0,1.0986122886681098,0.0,0.6931471805599453,0,0.5,1.0,1.0,1
p10004_s0002,p10004,2,0,0,4.972240906108944,0.14592247637222155,1.3862943611198906,0.6931471805599453,2.5649493574615367,1,1.0,1.0,1.0,1
p10004_s0003,p10004,3,0,0,3.490428515390098,0.9469860688855,1.0986122886681098,0.0,0.6931471805599453,0,0.5,1.0,1.0,1
p10004_s0004,p10004,4,0,0,5.075382126868785,0.08055539673885508,1.0986122886681098,0.6931471805599453,1.3862943611198906,1,1.0,1.0,1.0,1
p10004_s0005,p10004,5,0,0,3.926911617921897,0.14897859748008266,0.6931471805599453,0.0,0.0,0,0.0,1.0,0.0,1
p10004_s0006,p10004,6,0,0,5.146136966666069,1.7066045329686717,1.0986122886681098,0.6931471805599453,1.0986122886681098,0,0.6666666666666666,1.0,1.0,1
p10004_s0007,p10004,7,0,0,4.783874095870127,0.66383279289117,1.3862943611198906,0.6931471805599453,1.3862943611198906,0,0.75,1.0,1.0,1
p10004_s0008,p10004,8,0,0,4.498512533115126,0.609375499578451,1.0986122886681098,0.6931471805599453,1.0986122886681098,0,0.6666666666666666,1.0,1.0,1
p10004_s0009,p10004,9,0,0,5.09905308902377,0.0211520250912981,1.9459101490553132,0.6931471805599453,1.9459101490553132,1,0.8571428571428571,1.0,1.0,1
p10004_s0010,p10004,10,0,0,4.17618053283297,0.6302616135283631,0.0,0.6931471805599453,0.0,1,0.0,1.0,0.7655179019999999,1
p10004_s0011,p10004,11,0,0,4.562088696285641,1.0718570758425758,0.6931471805599453,0.6931471805599453,1.0986122886681098,0,1.0,1.0,1.0,1
p10004_s0012,p10004,12,0,0,3.9824814690767076,0.6630995435803889,0.6931471805599453,0.0,0.0,1,0.0,1.0,0.0,1
p10004_s0013,p10004,13,0,0,5.1149953094204985,0.05597329828759885,1.3862943611198906,0.6931471805599453,1.6094379124341003,1,1.0,1.0,1.0,1
p10004_s0014,p10004,14,0,0,3.017982882488811,0.3145403599546497,0.6931471805599453,0.0,0.0,0,0.0,1.0,0.0,1
p10004_s0015,p10004,15,0,0,2.66374994220563,2.511965851545285,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,0.5,1.0,1.0,1
p10004_s0016,p10004,16,0,0,4.842085141386219,0.19100290044954896,0.6931471805599453,0.6931471805599453,0.6931471805599453,1,0.5,1.0,1.0,1
p10004_s0017,p10004,17,0,0,4.2243976904702984,0.5971371031066147,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.24136928,1
p10004_s0018,p10004,18,0,0,4.722063937459591,0.032655405187194654,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.40391656,1
p10004_s0019,p10004,19,0,0,4.670801859416921,1.7584743462950776,1.3862943611198906,0.6931471805599453,1.3862943611198906,0,0.75,1.0,1.0,1
p10004_s0020,p10004,20,0,0,3.599592763287171,0.655587124788625,1.0986122886681098,0.6931471805599453,1.0986122886681098,1,0.6666666666666666,1.0,1.0,1
p10004_s0021,p10004,21,0,0,3.8849943330402263,1.8062298832387136,0.0,0.6931471805599453,0.6931471805599453,0,1.0,1.0,1.0,1
p10004_s0022,p10004,22,0,0,4.990432586778736,0.6659579644636567,1.0986122886681098,0.0,0.6931471805599453,0,0.5,1.0,1.0,1
p10004_s0023,p10004,23,0,1,1.2335316065674804,0.6311240117880241,0.0,0.0,0.0,1,0.0,0.0,0.0,1
p10004_s0024,p10004,24,0,0,2.835172208541549,1.1103487022932683,0.6931471805599453,0.0,0.6931471805599453,0,1.0,1.0,0.0,1
p10004_s0025,p10004,25,0,0,3.9932957255568824,1.348884507370572,1.0986122886681098,0.0,1.0986122886681098,0,1.0,1.0,0.0,1
p10004_s0026,p10004,26,0,0,1.9624394510065237,0.7296933802174118,0.6931471805599453,0.0,1.791759469228055,0,0.0,1.0,0.0716944599999999,1
p10004_s0027,p10004,27,0,0,3.4838009101973655,0.00030088065680099397,0.6931471805599453,0.0,1.6094379124341003,0,1.0,1.0,0.1112855,1
p10004_s0028,p10004,28,0,0,2.9069010598473755,2.632580547294927,0.6931471805599453,0.0,0.0,0,0.0,1.0,0.0,1
p10004_s0029,p10004,29,0,0,3.028522096376982,0.02998571577556986,0.6931471805599453,0.0,0.6931471805599453,0,1.0,1.0,0.0,1
p10007_s0001,p10007,1,1,0,5.3416960898499815,0.0,2.302585092994046,0.6931471805599453,2.70805020110221,1,0.9,1.0,1.0,4
p10007_s0002,p10007,2,0,0,3.2334359761995306,0.1311500873441195,0.6931471805599453,0.0,0.0,0,0.0,1.0,0.0,1
p10007_s0003,p10007,3,0,0,5.129306823813755,1.9173820654407752,2.302585092994046,1.0986122886681098,2.70805020110221,1,0.6363636363636364,1.0,1.0,2
p10007_s0004,p10007,4,0,0,3.928880122494569,1.0718570758425758,0.6931471805599453,0.0,0.6931471805599453,1,1.0,1.0,0.0,1
p10007_s0005,p10007,5,0,0,6.3405976645004,0.15270121716519686,2.3978952727983707,0.0,2.6390573296152584,1,0.9285714285714286,1.0,1.0,1
p10007_s0006,p10007,6,0,0,4.752583937876917,0.1816654774234129,1.0986122886681098,1.0986122886681098,1.0986122886681098,1,0.5,1.0,1.0,2
p10007_s0007,p10007,7,0,0,4.907124917726591,1.653255415934154,1.0986122886681098,0.0,0.6931471805599453,0,0.5,1.0,1.0,1
p10007_s0008,p10007,8,0,0,4.705015520957808,1.2105587084600542,1.3862943611198906,0.6931471805599453,1.3862943611198906,1,0.75,1.0,1.0,1
p10007_s0009,p10007,9,0,0,4.613634264400221,1.6066493056596753,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,0.5,1.0,1.0,1
p10007_s0010,p10007,10,0,0,4.972356359552471,1.9129540315419293,0.0,0.6931471805599453,0.6931471805599453,0,1.0,1.0,0.61739,1
p10007_s0011,p10007,11,0,0,5.02989311070067,2.1286973161308604,1.6094379124341003,0.0,1.6094379124341003,1,1.0,1.0,1.0,1
p10007_s0012,p10007,12,0,0,3.942228847485212,1.6146327293112044,2.3978952727983707,0.0,2.0794415416798357,0,0.7272727272727273,1.0,1.0,2
p10007_s0013,p10007,13,0,1,0.6418538861723948,4.453798453806577,0.0,0.0,0.0,0,0.0,0.0,0.0,1
p10007_s0014,p10007,14,0,1,0.27510329024492075,0.004008160286418058,0.0,0.0,0.0,0,0.0,0.0,0.0,1
p10007_s0015,p10007,15,0,1,0.37156355643248307,0.0077132319525017165,0.0,0.0,0.0,0,0.0,0.0,0.0,1
p10008_s0001,p10008,1,1,0,3.9477118478366533,0.0,1.0986122886681098,0.0,1.0986122886681098,0,1.0,1.0,1.0,1
p10008_s0002,p10008,2,0,0,4.137563681342077,2.173691079235652,1.3862943611198906,0.0,1.0986122886681098,1,0.6666666666666666,1.0,1.0,1
p10008_s0003,p10008,3,0,0,3.5239065356545947,3.0005124967269805,0.6931471805599453,1.0986122886681098,1.9459101490553132,0,0.0,1.0,0.7680403,1
p10008_s0004,p10008,4,0,1,0.4382549309311553,4.820609879386367,0.0,0.0,0.0,0,0.0,0.0,0.0,1
p10009_s0001,p10009,1,1,0,5.207571753241291,0.0,1.6094379124341003,0.0,2.302585092994046,0,0.75,1.0,1.0,1
p10009_s0002,p10009,2,0,0,4.272258270561636,1.9880598332340296,0.0,0.6931471805599453,1.0986122886681098,0,0.0,1.0,0.58224238,1
p10009_s0003,p10009,3,0,0,4.804021044733257,0.6667544835984502,1.3862943611198906,0.6931471805599453,1.3862943611198906,1,0.75,1.0,1.0,1
p10009_s0004,p10009,4,0,1,0.38299225225610584,2.151530694982007,0.0,0.0,0.0,0,0.0,0.0,0.0,1
p10009_s0005,p10009,5,0,0,4.854111430123442,0.3428260164795848,1.3862943611198906,0.6931471805599453,1.3862943611198906,1,0.75,1.0,1.0,1
p10009_s0006,p10009,6,0,0,5.7149421949152,0.3309593835471005,1.3862943611198906,0.6931471805599453,1.6094379124341003,1,1.0,1.0,1.0,1
p10009_s0007,p10009,7,0,0,4.9159582471543475,1.5763119220019988,1.791759469228055,0.0,1.6094379124341003,1,0.8,1.0,1.0,1
p10009_s0008,p10009,8,0,1,0.4906229164484712,4.059729154279085,0.0,0.0,0.0,0,0.0,0.0,0.0,1
p10009_s0009,p10009,9,0,0,2.8390784635086144,4.179951886861755,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.0689220999999999,1
p10009_s0010,p10009,10,0,1,0.9490805546971459,3.29950810230107,0.0,0.0,0.0,0,0.0,0.0,0.0,1
p1001_s0001,p1001,1,1,0,4.108137884354437,0.0,1.0986122886681098,0.0,1.0986122886681098,1,1.0,1.0,1.0,1
p1001_s0002,p1001,2,0,0,4.052364489981218,2.884826576364925,1.0986122886681098,0.0,1.0986122886681098,1,1.0,1.0,1.0,1
p1001_s0003,p1001,3,0,0,5.49017662782248,2.052922573369959,1.0986122886681098,0.0,2.3978952727983707,1,1.0,1.0,1.0,1
p1001_s0004,p1001,4,0,0,5.804130448490483,1.0343041936552968,1.6094379124341003,0.0,1.6094379124341003,1,1.0,1.0,1.0,1
p1001_s0005,p1001,5,0,0,6.130465330309764,2.2756218199135114,1.0986122886681098,0.0,1.0986122886681098,1,1.0,1.0,1.0,1
p1001_s0006,p1001,6,0,0,4.848116364598481,1.9331438199611817,1.0986122886681098,0.0,1.0986122886681098,1,1.0,1.0,1.0,1
p1001_s0007,p1001,7,0,0,4.7272403152088645,0.6656903343269058,1.791759469228055,0.0,1.791759469228055,0,1.0,1.0,1.0,1
p1001_s0008,p1001,8,0,0,5.293137306506495,0.9760347918178164,1.0986122886681098,0.0,1.0986122886681098,1,1.0,1.0,1.0,1
p1001_s0009,p1001,9,0,0,4.955122584165997,2.840485989913975,0.6931471805599453,0.0,0.0,0,0.0,1.0,0.0,1
p1001_s0010,p1001,10,0,1,0.22314355131420976,0.9247089031380743,0.0,0.0,0.0,0,0.0,0.0,0.0,1
p1001_s0011,p1001,11,0,0,4.304290293070002,1.8525964867875706,0.6931471805599453,0.6931471805599453,1.0986122886681098,1,1.0,1.0,1.0,1
p1001_s0012,p1001,12,0,0,4.8082470751519875,3.4007231179823454,0.6931471805599453,0.0,0.0,0,0.0,1.0,0.0,1
p1001_s0013,p1001,13,0,0,4.46322252333241,1.777246875922203,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,0.5,1.0,1.0,1
p1001_s0014,p1001,14,0,0,4.0312864262549635,1.0780749007607122,0.0,0.6931471805599453,0.6931471805599453,0,1.0,1.0,0.4089205999999999,1
p1001_s0015,p1001,15,0,0,4.5331369830882595,2.7055315999887135,1.0986122886681098,0.0,0.6931471805599453,1,0.5,1.0,1.0,2
p1001_s0016,p1001,16,0,0,4.747103681876758,1.0774721932860307,0.6931471805599453,0.6931471805599453,1.0986122886681098,1,1.0,1.0,1.0,1
p1001_s0017,p1001,17,0,0,6.272405197148409,0.9673798387501878,1.6094379124341003,0.0,1.3862943611198906,1,0.75,1.0,1.0,2
p1001_s0018,p1001,18,0,0,5.507835174280434,0.5731089998076069,0.6931471805599453,0.6931471805599453,1.0986122886681098,1,1.0,1.0,1.0,1
p1001_s0019,p1001,19,0,0,5.5636899220799565,0.42024728667067734,0.6931471805599453,0.0,0.6931471805599453,1,1.0,1.0,0.0,1
p1001_s0020,p1001,20,0,0,4.362461479179042,0.24191987145468016,1.0986122886681098,0.0,1.0986122886681098,1,1.0,1.0,1.0,1
p1001_s0021,p1001,21,0,0,6.3405976645004,2.6827632568391615,1.0986122886681098,0.0,1.0986122886681098,0,1.0,1.0,1.0,2
p1001_s0022,p1001,22,0,0,4.920345822748795,1.0631650027306372,1.0986122886681098,0.0,1.0986122886681098,0,1.0,1.0,1.0,2
p1001_s0023,p1001,23,0,0,4.710280670390708,1.7819507178582117,0.6931471805599453,0.0,0.0,0,0.0,1.0,0.0,1
p1001_s0024,p1001,24,0,0,5.072252886806163,2.286209849391288,0.0,0.6931471805599453,0.6931471805599453,1,1.0,0.0,0.5615857,1
p1001_s0025,p1001,25,0,0,4.927857367638563,1.7878029643031135,1.0986122886681098,0.0,1.3862943611198906,0,1.0,1.0,0.1111352399999999,1
p1001_s0026,p1001,26,0,1,0.4595323293784402,2.126549294916677,0.0,0.0,0.0,0,0.0,0.0,0.0,1
p10010_s0001,p10010,1,1,0,2.8857313783396625,0.0,0.6931471805599453,0.0,0.0,0,0.0,1.0,0.0,1
p10010_s0002,p10010,2,0,0,4.4856356172929015,4.83221796790265,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,0.5,1.0,1.0,1
p10011_s0001,p10011,1,1,0,4.57762768298169,0.0,1.791759469228055,0.0,1.6094379124341003,1,0.8,1.0,1.0,1
p10011_s0002,p10011,2,0,0,3.914021008090819,0.09435222953395139,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.365306072,1
p10011_s0003,p10011,3,0,0,3.6212249722981076,0.5740677320067219,0.0,0.6931471805599453,2.1972245773362196,0,0.0,1.0,0.37054155,1
p10011_s0004,p10011,4,0,0,3.3967430313127753,0.6491614289177692,1.0986122886681098,0.6931471805599453,1.0986122886681098,1,0.6666666666666666,1.0,1.0,1
p10011_s0005,p10011,5,0,0,3.6203329115788265,1.65568516359942,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.34146599,1
p10011_s0006,p10011,6,0,0,5.1101789244325175,0.637329778925773,0.6931471805599453,0.6931471805599453,0.6931471805599453,1,0.5,1.0,1.0,1
p10011_s0007,p10011,7,0,0,3.5986811861957873,1.068757454959253,0.6931471805599453,0.6931471805599453,1.0986122886681098,1,1.0,1.0,1.0,1
p10011_s0008,p10011,8,0,0,4.333580161435955,1.1162831670667748,0.6931471805599453,0.0,0.6931471805599453,0,1.0,1.0,0.0,1
p10011_s0009,p10011,9,0,0,4.645832167706981,0.9492776678855522,0.6931471805599453,0.0,0.0,0,0.0,1.0,0.0,1
p10011_s0010,p10011,10,0,0,4.276203048852652,0.23566666067506944,1.0986122886681098,0.6931471805599453,1.0986122886681098,1,0.6666666666666666,1.0,1.0,1
p10012_s0001,p10012,1,1,0,3.609114485645074,0.0,0.6931471805599453,0.0,0.0,0,0.0,1.0,0.0,1
p10012_s0002,p10012,2,0,0,2.775708849576025,2.76082638466347,0.6931471805599453,0.0,0.0,0,0.0,1.0,0.0,1
p10012_s0003,p10012,3,0,0,3.552009160223899,1.8090019351537439,1.0986122886681098,0.0,0.6931471805599453,0,0.5,1.0,0.95562703,1
p10013_s0001,p10013,1,1,0,4.862006378268771,0.0,1.791759469228055,0.0,2.4849066497880004,1,0.8,1.0,1.0,1
p10013_s0002,p10013,2,0,1,6.3405976645004,0.8819005550935418,0.0,0.0,0.0,0,0.0,0.0,0.0,1
p10013_s0003,p10013,3,0,0,5.814975945506471,2.016497427811538,1.3862943611198906,0.0,0.6931471805599453,0,0.3333333333333333,1.0,0.8481225,1
p10013_s0004,p10013,4,0,0,4.67873038909612,0.5062317547557632,1.3862943611198906,1.0986122886681098,1.3862943611198906,0,0.4,1.0,1.0,2
p10013_s0005,p10013,5,0,0,3.5634107089127642,1.5559248071605205,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.16215491,1
p10013_s0006,p10013,6,0,0,4.899703733388974,1.6254388416698455,0.6931471805599453,0.6931471805599453,0.6931471805599453,1,0.5,1.0,1.0,1
p10013_s0007,p10013,7,0,0,4.533316082220107,0.6645714597502763,1.0986122886681098,0.6931471805599453,1.3862943611198906,1,1.0,1.0,1.0,1
p10013_s0008,p10013,8,0,0,5.3818922901339405,0.7134886513975103,1.6094379124341003,0.0,1.3862943611198906,0,0.75,1.0,1.0,1
p10013_s0009,p10013,9,0,0,5.242452233706641,1.3221971006372069,0.6931471805599453,0.6931471805599453,1.3862943611198906,0,1.0,1.0,0.88886477,2
p10014_s0001,p10014,1,1,0,2.33214389523559,0.0,1.0986122886681098,0.0,0.6931471805599453,1,0.5,1.0,1.0,1
p10014_s0002,p10014,2,0,0,2.921367858265129,0.6681439005044709,0.0,0.6931471805599453,0.0,1,0.0,1.0,0.2927515464999999,1
p10014_s0003,p10014,3,0,0,1.8458266904983307,0.6792196223092913,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.09262633,1
p10014_s0004,p10014,4,0,0,2.448127398284704,1.6080225594425808,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.27781531,1
p10014_s0005,p10014,5,0,0,3.4452142670789296,2.2509164845202565,0.6931471805599453,0.6931471805599453,1.0986122886681098,0,1.0,1.0,1.0,1
p10014_s0006,p10014,6,0,0,1.9901548508530706,0.7434188305613643,1.0986122886681098,0.0,0.0,0,0.0,1.0,0.044602208,1
p10014_s0007,p10014,7,0,0,1.8769172775683618,2.2121942747461927,0.0,0.6931471805599453,0.0,0,0.0,1.0,0.147114952,1
p10014_s0008,p10014,8,0,0,3.7420251983230233,4.83221796790265,0.0,1.0986122886681098,0.6931471805599453,0,0.5,1.0,0.99978806972,1
p10014_s0009,p10014,9,0,0,2.030338828672104,0.6706802432509782,0.0,0.6931471805599453,0.6931471805599453,1,0.0,1.0,0.0705995322,1
p10014_s0010,p10014,10,0,0,2.9258461460898246,1.3927491783362955,0.0,0.6931471805599453,1.6094379124341003,0,0.0,1.0,0.25925723,1
p10014_s0011,p10014,11,0,0,3.0373539482448106,0.6817280632345099,0.0,0.6931471805599453,1.0986122886681098,0,0.0,1.0,0.28558335,1
p10014_s0012,p10014,12,0,0,3.159125820462427,1.7903464343272633,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,0.5,1.0,0.37848395,1
p10015_s0001,p10015,1,1,0,3.968088229361095,0.0,1.6094379124341003,0.6931471805599453,1.3862943611198906,1,0.6,1.0,1.0,1
p10015_s0002,p10015,2,0,0,3.9216432488051365,2.9180490967406465,0.6931471805599453,0.6931471805599453,1.6094379124341003,1,0.5,1.0,1.0,1
p10015_s0003,p10015,3,0,0,2.10209956557242,2.4397308948387746,0.0,0.6931471805599453,1.3862943611198906,0,0.0,1.0,0.0655163799999999,1
p10015_s0004,p10015,4,0,0,4.362249007065207,1.73740349742562,1.0986122886681098,1.0986122886681098,1.6094379124341003,0,0.5,1.0,1.0,1
