pid,n_sessions,n_transitions,first_session_id,last_session_id,first_state,last_state,state_sequence,session_id_sequence,has_minimal_state,has_purchase_anomaly,update_window_sessions
p10021,45,44,p10021_s0001,p10021_s0045,0,4,0 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 2 1 2 2 1 1 2 2 1 1 1 2 2 1 2 2 3 1 1 2 2 1 1 4 4 4,p10021_s0001 p10021_s0002 p10021_s0003 p10021_s0004 p10021_s0005 p10021_s0006 p10021_s0007 p10021_s0008 p10021_s0009 p10021_s0010 p10021_s0011 p10021_s0012 p10021_s0013 p10021_s0014 p10021_s0015 p10021_s0016 p10021_s0017 p10021_s0018 p10021_s0019 p10021_s0020 p10021_s0021 p10021_s0022 p10021_s0023 p10021_s0024 p10021_s0025 p10021_s0026 p10021_s0027 p10021_s0028 p10021_s0029 p10021_s0030 p10021_s0031 p10021_s0032 p10021_s0033 p10021_s0034 p10021_s0035 p10021_s0036 p10021_s0037 p10021_s0038 p10021_s0039 p10021_s0040 p10021_s0041 p10021_s0042 p10021_s0043 p10021_s0044 p10021_s0045,True,False,4
p10022,1,0,p10022_s0001,p10022_s0001,0,0,0,p10022_s0001,False,False,0
p10023,9,8,p10023_s0001,p10023_s0009,3,1,3 1 1 1 1 1 2 1 1,p10023_s0001 p10023_s0002 p10023_s0003 p10023_s0004 p10023_s0005 p10023_s0006 p10023_s0007 p10023_s0008 p10023_s0009,False,False,0
p10024,7,6,p10024_s0001,p10024_s0007,3,2,3 1 2 1 1 1 2,p10024_s0001 p10024_s0002 p10024_s0003 p10024_s0004 p10024_s0005 p10024_s0006 p10024_s0007,False,False,7
p10025,1,0,p10025_s0001,p10025_s0001,2,2,2,p10025_s0001,False,False,0
p10026,1,0,p10026_s0001,p10026_s0001,2,2,2,p10026_s0001,False,False,0
p10027,2,1,p10027_s0001,p10027_s0002,0,3,0 3,p10027_s0001 p10027_s0002,False,False,0
p10028,1,0,p10028_s0001,p10028_s0001,2,2,2,p10028_s0001,False,False,1
p10029,2,1,p10029_s0001,p10029_s0002,3,1,3 1,p10029_s0001 p10029_s0002,False,False,0
p1003,1,0,p1003_s0001,p1003_s0001,0,0,0,p1003_s0001,False,False,1
p10030,1,0,p10030_s0001,p10030_s0001,0,0,0,p10030_s0001,False,False,0
p10031,1,0,p10031_s0001,p10031_s0001,0,0,0,p10031_s0001,False,False,0
p10032,132,131,p10032_s0001,p10032_s0132,3,4,3 1 1 3 2 2 2 3 3 3 2 4 1 2 2 2 1 3 2 2 1 1 2 2 2 1 1 1 2 1 1 2 1 2 1 1 2 2 2 2 2 2 1 1 2 2 2 2 1 2 2 2 2 1 4 2 3 2 3 2 1 1 3 1 2 1 2 2 2 2 3 2 1 2 2 3 1 1 1 1 2 2 2 1 1 2 2 2 1 2 2 2 2 1 2 2 1 2 2 1 2 2 2 2 1 2 1 4 1 1 2 1 1 2 1 2 2 2 1 2 2 1 2 2 2 2 2 1 2 2 4 4,p10032_s0001 p10032_s0002 p10032_s0003 p10032_s0004 p10032_s0005 p10032_s0006 p10032_s0007 p10032_s0008 p10032_s0009 p10032_s0010 p10032_s0011 p10032_s0012 p10032_s0013 p10032_s0014 p10032_s0015 p10032_s0016 p10032_s0017 p10032_s0018 p10032_s0019 p10032_s0020 p10032_s0021 p10032_s0022 p10032_s0023 p10032_s0024 p10032_s0025 p10032_s0026 p10032_s0027 p10032_s0028 p10032_s0029 p10032_s0030 p10032_s0031 p10032_s0032 p10032_s0033 p10032_s0034 p10032_s0035 p10032_s0036 p10032_s0037 p10032_s0038 p10032_s0039 p10032_s0040 p10032_s0041 p10032_s0042 p10032_s0043 p10032_s0044 p10032_s0045 p10032_s0046 p10032_s0047 p10032_s0048 p10032_s0049 p10032_s0050 p10032_s0051 p10032_s0052 p10032_s0053 p10032_s0054 p10032_s0055 p10032_s0056 p10032_s0057 p10032_s0058 p10032_s0059 p10032_s0060 p10032_s0061 p10032_s0062 p10032_s0063 p10032_s0064 p10032_s0065 p10032_s0066 p10032_s0067 p10032_s0068 p10032_s0069 p10032_s0070 p10032_s0071 p10032_s0072 p10032_s0073 p10032_s0074 p10032_s0075 p10032_s0076 p10032_s0077 p10032_s0078 p10032_s0079 p10032_s0080 p10032_s0081 p10032_s0082 p10032_s0083 p10032_s0084 p10032_s0085 p10032_s0086 p10032_s0087 p10032_s0088 p10032_s0089 p10032_s0090 p10032_s0091 p10032_s0092 p10032_s0093 p10032_s0094 p10032_s0095 p10032_s0096 p10032_s0097 p10032_s0098 p10032_s0099 p10032_s0100 p10032_s0101 p10032_s0102 p10032_s0103 p10032_s0104 p10032_s0105 p10032_s0106 p10032_s0107 p10032_s0108 p10032_s0109 p10032_s0110 p10032_s0111 p10032_s0112 p10032_s0113 p10032_s0114 p10032_s0115 p10032_s0116 p10032_s0117 p10032_s0118 p10032_s0119 p10032_s0120 p10032_s0121 p10032_s0122 p10032_s0123 p10032_s0124 p10032_s0125 p10032_s0126 p10032_s0127 p10032_s0128 p10032_s0129 p10032_s0130 p10032_s0131 p10032_s0132,True,False,4
p10033,2,1,p10033_s0001,p10033_s0002,0,3,0 3,p10033_s0001 p10033_s0002,False,False,0
p10034,1,0,p10034_s0001,p10034_s0001,0,0,0,p10034_s0001,False,False,0
p10035,5,4,p10035_s0001,p10035_s0005,0,4,0 1 1 1 4,p10035_s0001 p10035_s0002 p10035_s0003 p10035_s0004 p10035_s0005,True,False,0
p10036,5,4,p10036_s0001,p10036_s0005,0,1,0 2 1 1 1,p10036_s0001 p10036_s0002 p10036_s0003 p10036_s0004 p10036_s0005,False,False,0
p10037,5,4,p10037_s0001,p10037_s0005,0,4,0 2 1 4 4,p10037_s0001 p10037_s0002 p10037_s0003 p10037_s0004 p10037_s0005,True,False,0
p10038,35,34,p10038_s0001,p10038_s0035,2,3,2 1 4 1 1 1 1 1 1 1 1 1 1 1 2 1 2 2 1 1 2 3 2 3 1 2 2 2 1 1 2 1 2 3 3,p10038_s0001 p10038_s0002 p10038_s0003 p10038_s0004 p10038_s0005 p10038_s0006 p10038_s0007 p10038_s0008 p10038_s0009 p10038_s0010 p10038_s0011 p10038_s0012 p10038_s0013 p10038_s0014 p10038_s0015 p10038_s0016 p10038_s0017 p10038_s0018 p10038_s0019 p10038_s0020 p10038_s0021 p10038_s0022 p10038_s0023 p10038_s0024 p10038_s0025 p10038_s0026 p10038_s0027 p10038_s0028 p10038_s0029 p10038_s0030 p10038_s0031 p10038_s0032 p10038_s0033 p10038_s0034 p10038_s0035,True,False,0
p10039,2,1,p10039_s0001,p10039_s0002,0,1,0 1,p10039_s0001 p10039_s0002,False,False,0
p1004,3,2,p1004_s0001,p1004_s0003,0,4,0 2 4,p1004_s0001 p1004_s0002 p1004_s0003,True,False,1
p10040,15,14,p10040_s0001,p10040_s0015,0,1,0 2 1 1 1 1 1 1 2 1 1 1 1 1 1,p10040_s0001 p10040_s0002 p10040_s0003 p10040_s0004 p10040_s0005 p10040_s0006 p10040_s0007 p10040_s0008 p10040_s0009 p10040_s0010 p10040_s0011 p10040_s0012 p10040_s0013 p10040_s0014 p10040_s0015,False,False,8
p10041,2,1,p10041_s0001,p10041_s0002,0,2,0 2,p10041_s0001 p10041_s0002,False,False,0
p10042,10,9,p10042_s0001,p10042_s0010,0,1,0 1 4 2 1 1 1 1 1 1,p10042_s0001 p10042_s0002 p10042_s0003 p10042_s0004 p10042_s0005 p10042_s0006 p10042_s0007 p10042_s0008 p10042_s0009 p10042_s0010,True,False,0
p10043,3,2,p10043_s0001,p10043_s0003,0,1,0 1 1,p10043_s0001 p10043_s0002 p10043_s0003,False,False,0
p10044,2,1,p10044_s0001,p10044_s0002,3,1,3 1,p10044_s0001 p10044_s0002,False,False,2
p10045,36,35,p10045_s0001,p10045_s0036,0,4,0 2 1 1 1 1 1 2 1 1 1 1 2 1 2 2 2 2 2 2 2 2 1 2 1 1 3 2 2 2 2 2 4 4 1 4,p10045_s0001 p10045_s0002 p10045_s0003 p10045_s0004 p10045_s0005 p10045_s0006 p10045_s0007 p10045_s0008 p10045_s0009 p10045_s0010 p10045_s0011 p10045_s0012 p10045_s0013 p10045_s0014 p10045_s0015 p10045_s0016 p10045_s0017 p10045_s0018 p10045_s0019 p10045_s0020 p10045_s0021 p10045_s0022 p10045_s0023 p10045_s0024 p10045_s0025 p10045_s0026 p10045_s0027 p10045_s0028 p10045_s0029 p10045_s0030 p10045_s0031 p10045_s0032 p10045_s0033 p10045_s0034 p10045_s0035 p10045_s0036,True,False,1
p10046,7,6,p10046_s0001,p10046_s0007,0,1,0 1 2 1 2 1 1,p10046_s0001 p10046_s0002 p10046_s0003 p10046_s0004 p10046_s0005 p10046_s0006 p10046_s0007,False,False,0
p10047,1,0,p10047_s0001,p10047_s0001,2,2,2,p10047_s0001,False,False,0
p10048,3,2,p10048_s0001,p10048_s0003,0,2,0 1 2,p10048_s0001 p10048_s0002 p10048_s0003,False,False,0
p10049,2,1,p10049_s0001,p10049_s0002,0,3,0 3,p10049_s0001 p10049_s0002,False,False,0
p1005,1,0,p1005_s0001,p1005_s0001,4,4,4,p1005_s0001,True,False,0
p10050,1,0,p10050_s0001,p10050_s0001,4,4,4,p10050_s0001,True,False,0
p10051,12,11,p10051_s0001,p10051_s0012,0,2,0 2 1 1 1 1 1 2 1 2 1 2,p10051_s0001 p10051_s0002 p10051_s0003 p10051_s0004 p10051_s0005 p10051_s0006 p10051_s0007 p10051_s0008 p10051_s0009 p10051_s0010 p10051_s0011 p10051_s0012,False,False,0
p10052,2,1,p10052_s0001,p10052_s0002,0,1,0 1,p10052_s0001 p10052_s0002,False,False,2
p10053,15,14,p10053_s0001,p10053_s0015,0,1,0 2 2 2 1 1 2 1 2 1 1 2 1 1 1,p10053_s0001 p10053_s0002 p10053_s0003 p10053_s0004 p10053_s0005 p10053_s0006 p10053_s0007 p10053_s0008 p10053_s0009 p10053_s0010 p10053_s0011 p10053_s0012 p10053_s0013 p10053_s0014 p10053_s0015,False,False,7
p10054,3,2,p10054_s0001,p10054_s0003,0,4,0 4 4,p10054_s0001 p10054_s0002 p10054_s0003,True,False,0
p10055,1,0,p10055_s0001,p10055_s0001,0,0,0,p10055_s0001,False,False,0
p10056,1,0,p10056_s0001,p10056_s0001,0,0,0,p10056_s0001,False,False,0
p10057,20,19,p10057_s0001,p10057_s0020,0,2,0 4 2 1 3 1 2 1 2 1 1 2 2 1 1 1 2 1 2 2,p10057_s0001 p10057_s0002 p10057_s0003 p10057_s0004 p10057_s0005 p10057_s0006 p10057_s0007 p10057_s0008 p10057_s0009 p10057_s0010 p10057_s0011 p10057_s0012 p10057_s0013 p10057_s0014 p10057_s0015 p10057_s0016 p10057_s0017 p10057_s0018 p10057_s0019 p10057_s0020,True,False,18
p10058,2,1,p10058_s0001,p10058_s0002,0,1,0 1,p10058_s0001 p10058_s0002,False,False,0
p10059,24,23,p10059_s0001,p10059_s0024,0,4,0 2 1 2 2 2 1 2 2 1 1 2 2 4 2 2 4 4 2 2 4 2 4 4,p10059_s0001 p10059_s0002 p10059_s0003 p10059_s0004 p10059_s0005 p10059_s0006 p10059_s0007 p10059_s0008 p10059_s0009 p10059_s0010 p10059_s0011 p10059_s0012 p10059_s0013 p10059_s0014 p10059_s0015 p10059_s0016 p10059_s0017 p10059_s0018 p10059_s0019 p10059_s0020 p10059_s0021 p10059_s0022 p10059_s0023 p10059_s0024,True,False,0
p1006,2,1,p1006_s0001,p1006_s0002,0,1,0 1,p1006_s0001 p1006_s0002,False,False,0
p10060,10,9,p10060_s0001,p10060_s0010,3,4,3 1 1 1 1 1 1 3 3 4,p10060_s0001 p10060_s0002 p10060_s0003 p10060_s0004 p10060_s0005 p10060_s0006 p10060_s0007 p10060_s0008 p10060_s0009 p10060_s0010,True,False,0
p10061,3,2,p10061_s0001,p10061_s0003,0,2,0 2 2,p10061_s0001 p10061_s0002 p10061_s0003,False,False,0
p10062,2,1,p10062_s0001,p10062_s0002,0,1,0 1,p10062_s0001 p10062_s0002,False,False,1
p10063,2,1,p10063_s0001,p10063_s0002,0,4,0 4,p10063_s0001 p10063_s0002,True,False,1
p10064,7,6,p10064_s0001,p10064_s0007,2,4,2 2 3 1 1 1 4,p10064_s0001 p10064_s0002 p10064_s0003 p10064_s0004 p10064_s0005 p10064_s0006 p10064_s0007,True,False,0
p10065,1,0,p10065_s0001,p10065_s0001,0,0,0,p10065_s0001,False,False,0
p10066,7,6,p10066_s0001,p10066_s0007,0,4,0 3 4 1 2 2 4,p10066_s0001 p10066_s0002 p10066_s0003 p10066_s0004 p10066_s0005 p10066_s0006 p10066_s0007,True,False,3
p10067,55,54,p10067_s0001,p10067_s0055,0,2,0 2 2 2 3 2 1 2 2 1 3 2 2 1 3 2 2 2 2 2 2 2 1 2 2 2 2 2 1 1 4 2 2 1 2 1 2 2 2 1 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2,p10067_s0001 p10067_s0002 p10067_s0003 p10067_s0004 p10067_s0005 p10067_s0006 p10067_s0007 p10067_s0008 p10067_s0009 p10067_s0010 p10067_s0011 p10067_s0012 p10067_s0013 p10067_s0014 p10067_s0015 p10067_s0016 p10067_s0017 p10067_s0018 p10067_s0019 p10067_s0020 p10067_s0021 p10067_s0022 p10067_s0023 p10067_s0024 p10067_s0025 p10067_s0026 p10067_s0027 p10067_s0028 p10067_s0029 p10067_s0030 p10067_s0031 p10067_s0032 p10067_s0033 p10067_s0034 p10067_s0035 p10067_s0036 p10067_s0037 p10067_s0038 p10067_s0039 p10067_s0040 p10067_s0041 p10067_s0042 p10067_s0043 p10067_s0044 p10067_s0045 p10067_s0046 p10067_s0047 p10067_s0048 p10067_s0049 p10067_s0050 p10067_s0051 p10067_s0052 p10067_s0053 p10067_s0054 p10067_s0055,True,False,0
p10068,1,0,p10068_s0001,p10068_s0001,0,0,0,p10068_s0001,False,False,0
p10069,6,5,p10069_s0001,p10069_s0006,0,1,0 1 1 1 2 1,p10069_s0001 p10069_s0002 p10069_s0003 p10069_s0004 p10069_s0005 p10069_s0006,False,False,0
p1007,30,29,p1007_s0001,p1007_s0030,0,3,0 2 2 1 2 1 2 2 2 2 1 2 2 2 2 2 1 1 1 1 2 1 2 1 1 1 1 2 1 3,p1007_s0001 p1007_s0002 p1007_s0003 p1007_s0004 p1007_s0005 p1007_s0006 p1007_s0007 p1007_s0008 p1007_s0009 p1007_s0010 p1007_s0011 p1007_s0012 p1007_s0013 p1007_s0014 p1007_s0015 p1007_s0016 p1007_s0017 p1007_s0018 p1007_s0019 p1007_s0020 p1007_s0021 p1007_s0022 p1007_s0023 p1007_s0024 p1007_s0025 p1007_s0026 p1007_s0027 p1007_s0028 p1007_s0029 p1007_s0030,False,False,0
p10070,12,11,p10070_s0001,p10070_s0012,0,4,0 1 4 2 1 1 1 1 2 2 1 4,p10070_s0001 p10070_s0002 p10070_s0003 p10070_s0004 p10070_s0005 p10070_s0006 p10070_s0007 p10070_s0008 p10070_s0009 p10070_s0010 p10070_s0011 p10070_s0012,True,False,0
p10071,70,69,p10071_s0001,p10071_s0070,3,4,3 1 1 1 1 1 3 3 2 3 2 2 1 1 1 1 1 2 2 1 1 2 1 2 2 2 2 2 2 1 2 1 1 2 2 1 2 4 2 2 2 2 2 2 1 2 4 1 4 4 1 2 1 1 2 1 1 2 1 1 2 2 1 2 1 2 2 1 1 4,p10071_s0001 p10071_s0002 p10071_s0003 p10071_s0004 p10071_s0005 p10071_s0006 p10071_s0007 p10071_s0008 p10071_s0009 p10071_s0010 p10071_s0011 p10071_s0012 p10071_s0013 p10071_s0014 p10071_s0015 p10071_s0016 p10071_s0017 p10071_s0018 p10071_s0019 p10071_s0020 p10071_s0021 p10071_s0022 p10071_s0023 p10071_s0024 p10071_s0025 p10071_s0026 p10071_s0027 p10071_s0028 p10071_s0029 p10071_s0030 p10071_s0031 p10071_s0032 p10071_s0033 p10071_s0034 p10071_s0035 p10071_s0036 p10071_s0037 p10071_s0038 p10071_s0039 p10071_s0040 p10071_s0041 p10071_s0042 p10071_s0043 p10071_s0044 p10071_s0045 p10071_s0046 p10071_s0047 p10071_s0048 p10071_s0049 p10071_s0050 p10071_s0051 p10071_s0052 p10071_s0053 p10071_s0054 p10071_s0055 p10071_s0056 p10071_s0057 p10071_s0058 p10071_s0059 p10071_s0060 p10071_s0061 p10071_s0062 p10071_s0063 p10071_s0064 p10071_s0065 p10071_s0066 p10071_s0067 p10071_s0068 p10071_s0069 p10071_s0070,True,False,1
p10072,3,2,p10072_s0001,p10072_s0003,0,1,0 2 1,p10072_s0001 p10072_s0002 p10072_s0003,False,False,0
p10073,18,17,p10073_s0001,p10073_s0018,3,4,3 1 2 1 1 1 1 2 1 2 1 1 1 1 1 1 2 4,p10073_s0001 p10073_s0002 p10073_s0003 p10073_s0004 p10073_s0005 p10073_s0006 p10073_s0007 p10073_s0008 p10073_s0009 p10073_s0010 p10073_s0011 p10073_s0012 p10073_s0013 p10073_s0014 p10073_s0015 p10073_s0016 p10073_s0017 p10073_s0018,True,False,2
p10074,6,5,p10074_s0001,p10074_s0006,0,1,0 1 1 1 1 1,p10074_s0001 p10074_s0002 p10074_s0003 p10074_s0004 p10074_s0005 p10074_s0006,False,False,0
p10075,2,1,p10075_s0001,p10075_s0002,0,4,0 4,p10075_s0001 p10075_s0002,True,False,1
p10076,16,15,p10076_s0001,p10076_s0016,0,2,0 2 2 2 2 1 1 2 2 1 1 1 3 1 2 2,p10076_s0001 p10076_s0002 p10076_s0003 p10076_s0004 p10076_s0005 p10076_s0006 p10076_s0007 p10076_s0008 p10076_s0009 p10076_s0010 p10076_s0011 p10076_s0012 p10076_s0013 p10076_s0014 p10076_s0015 p10076_s0016,False,False,0
p10077,2,1,p10077_s0001,p10077_s0002,0,1,0 1,p10077_s0001 p10077_s0002,False,False,0
p10078,23,22,p10078_s0001,p10078_s0023,0,2,0 2 1 2 1 1 2 2 2 2 4 1 2 2 2 2 2 4 1 3 1 1 2,p10078_s0001 p10078_s0002 p10078_s0003 p10078_s0004 p10078_s0005 p10078_s0006 p10078_s0007 p10078_s0008 p10078_s0009 p10078_s0010 p10078_s0011 p10078_s0012 p10078_s0013 p10078_s0014 p10078_s0015 p10078_s0016 p10078_s0017 p10078_s0018 p10078_s0019 p10078_s0020 p10078_s0021 p10078_s0022 p10078_s0023,True,False,1
p10079,8,7,p10079_s0001,p10079_s0008,0,1,0 1 1 2 3 2 3 1,p10079_s0001 p10079_s0002 p10079_s0003 p10079_s0004 p10079_s0005 p10079_s0006 p10079_s0007 p10079_s0008,False,False,4
p1008,43,42,p1008_s0001,p1008_s0043,0,1,0 2 4 1 1 1 1 1 1 1 2 1 1 2 4 1 2 1 2 1 1 1 2 2 2 1 1 4 1 1 2 1 2 2 1 1 2 1 1 4 2 2 1,p1008_s0001 p1008_s0002 p1008_s0003 p1008_s0004 p1008_s0005 p1008_s0006 p1008_s0007 p1008_s0008 p1008_s0009 p1008_s0010 p1008_s0011 p1008_s0012 p1008_s0013 p1008_s0014 p1008_s0015 p1008_s0016 p1008_s0017 p1008_s0018 p1008_s0019 p1008_s0020 p1008_s0021 p1008_s0022 p1008_s0023 p1008_s0024 p1008_s0025 p1008_s0026 p1008_s0027 p1008_s0028 p1008_s0029 p1008_s0030 p1008_s0031 p1008_s0032 p1008_s0033 p1008_s0034 p1008_s0035 p1008_s0036 p1008_s0037 p1008_s0038 p1008_s0039 p1008_s0040 p1008_s0041 p1008_s0042 p1008_s0043,True,False,11
p10080,6,5,p10080_s0001,p10080_s0006,0,2,0 1 1 4 4 2,p10080_s0001 p10080_s0002 p10080_s0003 p10080_s0004 p10080_s0005 p10080_s0006,True,False,1
p10081,1,0,p10081_s0001,p10081_s0001,0,0,0,p10081_s0001,False,False,1
p10082,1,0,p10082_s0001,p10082_s0001,3,3,3,p10082_s0001,False,False,1
p10083,18,17,p10083_s0001,p10083_s0018,0,1,0 1 4 1 1 1 2 1 2 2 1 2 1 2 3 1 2 1,p10083_s0001 p10083_s0002 p10083_s0003 p10083_s0004 p10083_s0005 p10083_s0006 p10083_s0007 p10083_s0008 p10083_s0009 p10083_s0010 p10083_s0011 p10083_s0012 p10083_s0013 p10083_s0014 p10083_s0015 p10083_s0016 p10083_s0017 p10083_s0018,True,False,0
p10084,9,8,p10084_s0001,p10084_s0009,0,1,0 1 1 4 2 2 1 1 1,p10084_s0001 p10084_s0002 p10084_s0003 p10084_s0004 p10084_s0005 p10084_s0006 p10084_s0007 p10084_s0008 p10084_s0009,True,False,0
p10085,8,7,p10085_s0001,p10085_s0008,0,1,0 2 1 2 1 4 2 1,p10085_s0001 p10085_s0002 p10085_s0003 p10085_s0004 p10085_s0005 p10085_s0006 p10085_s0007 p10085_s0008,True,False,1
